JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,KWHKVARH,RPLWBP,RPWBP,RPBLOK3,RPKVARH,RPBEBAN,RPPTL,RPPPN,RPBPJU,RPTRAFO,RPSEWATRAFO,RPSEWAKAP,RPANGSA,RPANGSB,RPANGSC,RPMAT,RPPLN,RPTAG,RPTAG_MAT,RPPRODUKSI,RPSUBSIDI,RPBK1,RPBK2,RPBK3,RPTDLLAMA,RPTDLBARU,RPSELISIH,RPREDUKSI,RPDISKON,RPPPN_R3,RPPPN_BPTRAFO,RPPPN_SEWATRAFO,RPPPN_OPSPARAREL,RPPPN_SEWAKAP,RPPPN_LAIN
"362,22",30,30,103,163,"0,00","5070,00","10800,00","50985,00","0,00","4950,00","71805,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"71805,00","71805,00","71805,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"88,88",20,40,20,80,"0,00","5500,00","17800,00","9900,00","0,00","18000,00","51200,00","0,00","3072,00",0,"0,00",0,"0,00","0,00","0,00",0,"51200,00","54272,00","54272,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"0,00",0,0,0,0,"0,00","0,00","0,00","0,00","0,00","4950,00","4950,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"4950,00","4950,00","4950,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"254,44",20,40,169,229,"0,00","5500,00","17800,00","83655,00","0,00","18000,00","124955,00","0,00","7497,00",0,"0,00",0,"0,00","0,00","0,00",0,"124955,00","132452,00","132452,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"208,88",20,40,128,188,"0,00","5500,00","17800,00","63360,00","0,00","18000,00","104660,00","0,00","6280,00",0,"0,00",0,"0,00","0,00","0,00",0,"104660,00","110940,00","110940,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"203,33",20,40,123,183,"0,00","5500,00","17800,00","60885,00","0,00","18000,00","102185,00","0,00","6131,00",0,"0,00",0,"0,00","0,00","0,00",0,"102185,00","108316,00","108316,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"158,88",20,40,83,143,"0,00","5500,00","17800,00","41085,00","0,00","18000,00","82385,00","0,00","4943,00",0,"0,00",0,"0,00","0,00","0,00",0,"82385,00","87328,00","87328,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"360,00",30,30,102,162,"0,00","5070,00","10800,00","50490,00","0,00","4950,00","71310,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"71310,00","71310,00","71310,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"110,00",20,40,39,99,"0,00","5500,00","17800,00","19305,00","0,00","18000,00","60605,00","0,00","3636,00",0,"0,00",0,"0,00","0,00","0,00",0,"60605,00","64241,00","64241,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"57,77",20,32,0,52,"0,00","5500,00","14240,00","0,00","0,00","18000,00","37740,00","0,00","2264,00",0,"0,00",0,"0,00","0,00","0,00",0,"37740,00","40004,00","40004,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
