JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,RPLWBP,RPWBP,RPBLOK3,RPBEBAN,RPPTL,RPBPJU,RPPLN,RPTAG,RPTAG_MAT,RPREDUKSI,RPANGS,RPBK
64.44,29,0,0,29,4901.0,0.0,0.0,4950.0,9851.0,0.0,9851.0,9851.0,9851.0,0.0,0,1
177.77,30,30,20,80,5070.0,10800.0,9900.0,4950.0,30720.0,0.0,30720.0,30720.0,30720.0,0.0,0,1
82.22,30,7,0,37,5070.0,2520.0,0.0,4950.0,12540.0,0.0,12540.0,12540.0,12540.0,0.0,0,1
146.66,30,30,6,66,5070.0,10800.0,2970.0,4950.0,23790.0,0.0,23790.0,23790.0,23790.0,0.0,0,1
102.22,30,16,0,46,5070.0,5760.0,0.0,4950.0,15780.0,0.0,15780.0,15780.0,15780.0,0.0,0,1
51.11,23,0,0,23,3887.0,0.0,0.0,4950.0,8837.0,0.0,8837.0,8837.0,8837.0,0.0,0,1
217.77,30,30,38,98,5070.0,10800.0,18810.0,4950.0,39630.0,0.0,39630.0,39630.0,39630.0,0.0,0,1
162.22,30,30,13,73,5070.0,10800.0,6435.0,4950.0,27255.0,0.0,27255.0,27255.0,27255.0,0.0,0,1
160.0,30,30,12,72,5070.0,10800.0,5940.0,4950.0,26760.0,0.0,26760.0,26760.0,26760.0,0.0,0,1
8.88,4,0,0,4,676.0,0.0,0.0,4950.0,5626.0,338.0,5626.0,5964.0,5964.0,0.0,0,1
60.0,27,0,0,27,4563.0,0.0,0.0,4950.0,9513.0,571.0,9513.0,10084.0,10084.0,0.0,0,1
24.44,11,0,0,11,1859.0,0.0,0.0,4950.0,6809.0,409.0,6809.0,7218.0,7218.0,0.0,0,1
48.88,22,0,0,22,3718.0,0.0,0.0,4950.0,8668.0,520.0,8668.0,9188.0,9188.0,0.0,0,1
66.66,30,0,0,30,5070.0,0.0,0.0,4950.0,10020.0,0.0,10020.0,10020.0,10020.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,297.0,4950.0,5247.0,5247.0,0.0,0,1
75.55,30,4,0,34,5070.0,1440.0,0.0,4950.0,11460.0,0.0,11460.0,11460.0,11460.0,0.0,0,1
33.33,15,0,0,15,2535.0,0.0,0.0,4950.0,7485.0,0.0,7485.0,7485.0,7485.0,0.0,0,1
344.44,30,30,95,155,5070.0,10800.0,47025.0,4950.0,67845.0,0.0,67845.0,67845.0,67845.0,0.0,0,0
297.77,30,30,74,134,5070.0,10800.0,36630.0,4950.0,57450.0,0.0,57450.0,57450.0,57450.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
128.88,30,28,0,58,5070.0,10080.0,0.0,4950.0,20100.0,1206.0,20100.0,21306.0,21306.0,0.0,0,1
104.44,30,17,0,47,5070.0,6120.0,0.0,4950.0,16140.0,0.0,16140.0,16140.0,16140.0,0.0,0,1
191.11,30,30,26,86,5070.0,10800.0,12870.0,4950.0,33690.0,0.0,33690.0,33690.0,33690.0,0.0,0,1
255.55,30,30,55,115,5070.0,10800.0,27225.0,4950.0,48045.0,2883.0,48045.0,50928.0,50928.0,0.0,0,1
15.55,7,0,0,7,1183.0,0.0,0.0,4950.0,6133.0,0.0,6133.0,6133.0,6133.0,0.0,0,1
191.11,30,30,26,86,5070.0,10800.0,12870.0,4950.0,33690.0,0.0,33690.0,33690.0,33690.0,0.0,0,1
280.0,30,30,66,126,5070.0,10800.0,32670.0,4950.0,53490.0,0.0,53490.0,53490.0,53490.0,0.0,0,1
208.88,30,30,34,94,5070.0,10800.0,16830.0,4950.0,37650.0,2259.0,37650.0,39909.0,39909.0,0.0,0,1
180.0,30,30,21,81,5070.0,10800.0,10395.0,4950.0,31215.0,0.0,31215.0,31215.0,31215.0,0.0,0,1
260.0,30,30,57,117,5070.0,10800.0,28215.0,4950.0,49035.0,2942.0,49035.0,51977.0,51977.0,0.0,0,1
73.33,30,3,0,33,5070.0,1080.0,0.0,4950.0,11100.0,0.0,11100.0,11100.0,11100.0,0.0,0,1
228.88,30,30,43,103,5070.0,10800.0,21285.0,4950.0,42105.0,0.0,42105.0,42105.0,42105.0,0.0,0,1
182.22,30,30,22,82,5070.0,10800.0,10890.0,4950.0,31710.0,0.0,31710.0,31710.0,31710.0,0.0,0,1
304.44,30,30,77,137,5070.0,10800.0,38115.0,4950.0,58935.0,0.0,58935.0,58935.0,58935.0,0.0,0,1
4.44,2,0,0,2,338.0,0.0,0.0,4950.0,5288.0,317.0,5288.0,5605.0,5605.0,0.0,0,1
204.44,30,30,32,92,5070.0,10800.0,15840.0,4950.0,36660.0,0.0,36660.0,36660.0,36660.0,0.0,0,1
206.66,30,30,33,93,5070.0,10800.0,16335.0,4950.0,37155.0,0.0,37155.0,37155.0,37155.0,0.0,0,1
202.22,30,30,31,91,5070.0,10800.0,15345.0,4950.0,36165.0,0.0,36165.0,36165.0,36165.0,0.0,0,1
180.0,30,30,21,81,5070.0,10800.0,10395.0,4950.0,31215.0,1873.0,31215.0,33088.0,33088.0,0.0,0,1
122.22,30,25,0,55,5070.0,9000.0,0.0,4950.0,19020.0,0.0,19020.0,19020.0,19020.0,0.0,0,1
128.88,30,28,0,58,5070.0,10080.0,0.0,4950.0,20100.0,0.0,20100.0,20100.0,20100.0,0.0,0,1
222.22,30,30,40,100,5070.0,10800.0,19800.0,4950.0,40620.0,0.0,40620.0,40620.0,40620.0,0.0,0,1
306.66,30,30,78,138,5070.0,10800.0,38610.0,4950.0,59430.0,0.0,59430.0,59430.0,59430.0,0.0,0,1
51.11,23,0,0,23,3887.0,0.0,0.0,4950.0,8837.0,0.0,8837.0,8837.0,8837.0,0.0,0,1
42.22,19,0,0,19,3211.0,0.0,0.0,4950.0,8161.0,0.0,8161.0,8161.0,8161.0,0.0,0,1
195.55,30,30,28,88,5070.0,10800.0,13860.0,4950.0,34680.0,0.0,34680.0,34680.0,34680.0,0.0,0,1
313.33,30,30,81,141,5070.0,10800.0,40095.0,4950.0,60915.0,0.0,60915.0,60915.0,60915.0,0.0,0,0
104.44,30,17,0,47,5070.0,6120.0,0.0,4950.0,16140.0,0.0,16140.0,16140.0,16140.0,0.0,0,1
66.66,30,0,0,30,5070.0,0.0,0.0,4950.0,10020.0,0.0,10020.0,10020.0,10020.0,0.0,0,1
240.0,30,30,48,108,5070.0,10800.0,23760.0,4950.0,44580.0,0.0,44580.0,44580.0,44580.0,0.0,0,1
251.11,30,30,53,113,5070.0,10800.0,26235.0,4950.0,47055.0,0.0,47055.0,47055.0,47055.0,0.0,0,1
595.55,30,30,208,268,5070.0,10800.0,102960.0,4950.0,123780.0,0.0,123780.0,123780.0,123780.0,0.0,0,0
111.11,30,20,0,50,5070.0,7200.0,0.0,4950.0,17220.0,0.0,17220.0,17220.0,17220.0,0.0,0,1
553.33,30,30,189,249,5070.0,10800.0,93555.0,4950.0,114375.0,0.0,114375.0,114375.0,114375.0,0.0,0,0
168.88,30,30,16,76,5070.0,10800.0,7920.0,4950.0,28740.0,0.0,28740.0,28740.0,28740.0,0.0,0,1
317.77,30,30,83,143,5070.0,10800.0,41085.0,4950.0,61905.0,0.0,61905.0,61905.0,61905.0,0.0,0,1
168.88,30,30,16,76,5070.0,10800.0,7920.0,4950.0,28740.0,0.0,28740.0,28740.0,28740.0,0.0,0,1
35.55,16,0,0,16,2704.0,0.0,0.0,4950.0,7654.0,459.0,7654.0,8113.0,8113.0,0.0,0,1
97.77,30,14,0,44,5070.0,5040.0,0.0,4950.0,15060.0,904.0,15060.0,15964.0,15964.0,0.0,0,1
84.44,30,8,0,38,5070.0,2880.0,0.0,4950.0,12900.0,0.0,12900.0,12900.0,12900.0,0.0,0,1
95.55,30,13,0,43,5070.0,4680.0,0.0,4950.0,14700.0,0.0,14700.0,14700.0,14700.0,0.0,0,1
126.66,30,27,0,57,5070.0,9720.0,0.0,4950.0,19740.0,0.0,19740.0,19740.0,19740.0,0.0,0,1
53.33,24,0,0,24,4056.0,0.0,0.0,4950.0,9006.0,0.0,9006.0,9006.0,9006.0,0.0,0,1
295.55,30,30,73,133,5070.0,10800.0,36135.0,4950.0,56955.0,0.0,56955.0,56955.0,56955.0,0.0,0,1
191.11,30,30,26,86,5070.0,10800.0,12870.0,4950.0,33690.0,0.0,33690.0,33690.0,33690.0,0.0,0,1
308.88,30,30,79,139,5070.0,10800.0,39105.0,4950.0,59925.0,0.0,59925.0,59925.0,59925.0,0.0,0,1
66.66,30,0,0,30,5070.0,0.0,0.0,4950.0,10020.0,0.0,10020.0,10020.0,10020.0,0.0,0,1
157.77,30,30,11,71,5070.0,10800.0,5445.0,4950.0,26265.0,0.0,26265.0,26265.0,26265.0,0.0,0,1
153.33,30,30,9,69,5070.0,10800.0,4455.0,4950.0,25275.0,0.0,25275.0,25275.0,25275.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
551.11,30,30,188,248,5070.0,10800.0,93060.0,4950.0,113880.0,0.0,113880.0,215289.0,215289.0,0.0,1,0
153.33,30,30,9,69,5070.0,10800.0,4455.0,4950.0,25275.0,0.0,25275.0,25275.0,25275.0,0.0,0,1
186.66,30,30,24,84,5070.0,10800.0,11880.0,4950.0,32700.0,1962.0,32700.0,34662.0,34662.0,0.0,0,1
60.0,27,0,0,27,4563.0,0.0,0.0,4950.0,9513.0,0.0,9513.0,9513.0,9513.0,0.0,0,1
60.0,27,0,0,27,4563.0,0.0,0.0,4950.0,9513.0,0.0,9513.0,9513.0,9513.0,0.0,0,1
80.0,30,6,0,36,5070.0,2160.0,0.0,4950.0,12180.0,0.0,12180.0,12180.0,12180.0,0.0,0,1
135.55,30,30,1,61,5070.0,10800.0,495.0,4950.0,21315.0,0.0,21315.0,21315.0,21315.0,0.0,0,1
231.11,30,30,44,104,5070.0,10800.0,21780.0,4950.0,42600.0,0.0,42600.0,42600.0,42600.0,0.0,0,1
188.88,30,30,25,85,5070.0,10800.0,12375.0,4950.0,33195.0,0.0,33195.0,33195.0,33195.0,0.0,0,1
133.33,30,30,0,60,5070.0,10800.0,0.0,4950.0,20820.0,0.0,20820.0,149666.0,149666.0,0.0,1,0
451.11,30,30,143,203,5070.0,10800.0,70785.0,4950.0,91605.0,0.0,91605.0,220451.0,220451.0,0.0,1,0
77.77,30,5,0,35,5070.0,1800.0,0.0,4950.0,11820.0,0.0,11820.0,11820.0,11820.0,0.0,0,1
180.0,30,30,21,81,5070.0,10800.0,10395.0,4950.0,31215.0,0.0,31215.0,31215.0,31215.0,0.0,0,1
453.33,30,30,144,204,5070.0,10800.0,71280.0,4950.0,92100.0,0.0,92100.0,92100.0,92100.0,0.0,0,1
228.88,30,30,43,103,5070.0,10800.0,21285.0,4950.0,42105.0,0.0,42105.0,42105.0,42105.0,0.0,0,1
97.77,30,14,0,44,5070.0,5040.0,0.0,4950.0,15060.0,904.0,15060.0,15964.0,15964.0,0.0,0,1
93.33,30,12,0,42,5070.0,4320.0,0.0,4950.0,14340.0,0.0,14340.0,14340.0,14340.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
22.22,10,0,0,10,1690.0,0.0,0.0,4950.0,6640.0,398.0,6640.0,7038.0,7038.0,0.0,0,1
220.0,30,30,39,99,5070.0,10800.0,19305.0,4950.0,40125.0,0.0,40125.0,40125.0,40125.0,0.0,0,1
